Station,Season,Ensemble Mean,CFSR,ERA-Interim,ERA5,ERA5-Land,JRA55,MERRA2,GLDAS-Noah,GLDAS-CLSM
7.201080645,Warm,6.779846191,5.871917725,8.742584229,8.18762207,8.37588501,0.141693115,7.633148192999999,7.220031737999999,8.065887451
4.164551389,Warm,1.858001709,1.620147705,2.1555786130000003,2.174072266,2.289276123,0.46960449200000004,2.129699707,2.123260498,1.9024963380000002
-0.274825269,Warm,-6.516906737999999,-5.978851317999999,-7.627838135,-6.800842285,-3.84753418,-10.64321899,-5.465362549,-7.313568115,-4.457946777
4.848031944,Warm,6.147827147999999,6.496520996,8.816040038999999,8.794616699,8.754364014,-7.341796875,7.574676514,7.378448486,8.70980835
7.756547042999999,Warm,8.040802002000001,7.177734375,10.50073242,10.153991699999999,10.41665649,-2.259613037,9.40322876,8.383758545,10.54986572
8.890711022,Warm,7.737152099999999,6.490203857000001,10.19042969,9.600006104,9.492584229,0.21054077100000002,8.868377686,8.077850342,8.967132568
4.770202778,Warm,2.218475342,1.974090576,3.3870544430000002,2.7463989260000004,2.6043396,0.40100097700000004,2.361938477,2.200622559,2.0723571780000003
1.715939516,Warm,-0.117980957,-0.38732910200000004,1.193206787,0.58114624,-0.132873535,0.154449463,-0.415283203,-1.025390625,-0.9117736820000001
0.619413978,Warm,0.16949462899999998,0.6692810060000001,1.591278076,2.28616333,1.26574707,-6.864837646000001,0.954193115,-0.556610107,2.010803223
4.631013889,Warm,5.375213623,5.035064697,7.347320557000001,7.279968262000001,7.4865722660000005,-3.9674682619999997,6.050292969,6.6848144529999995,7.08505249
8.064641129,Warm,7.7038574220000005,6.252380371,10.60791016,9.663024902,9.59765625,-0.17437744100000002,8.525604247999999,7.770019531,9.388549805
11.12177285,Warm,9.440887451,8.480499267999999,12.4281311,11.54067993,11.57373047,0.597839355,10.48358154,9.825256348,10.59725952
6.549136111,Warm,4.171569824,4.178070068,5.475463867,4.886871338,4.882080078,0.762359619,4.3791198730000005,4.5529479980000005,4.255706787
1.425514785,Warm,1.246459961,2.499267578,3.122619629,4.159851074,1.9504089359999999,-7.5070495610000005,1.961914063,0.709075928,3.075592041
7.157859722,Warm,6.962738037,7.516326904,9.142150878999999,9.290283203,9.092926025,-3.2448425289999996,7.295593262000001,8.309020996000001,8.300323486
7.657956989,Warm,6.884368896000001,5.693725586,8.963104247999999,8.255249023,8.485168457,0.315155029,7.851928711,7.180725098,8.329864502000001
2.410888889,Warm,1.8815917969999998,1.4165649409999999,2.182250977,2.187774658,2.2780151369999997,0.543701172,2.2415161130000003,2.003295898,2.199676514
-1.053548387,Warm,-6.6213684079999995,-5.903594971,-8.650817871000001,-6.848327637000001,-3.6606445310000004,-10.65783691,-5.4143066410000005,-7.607513428,-4.227935791
7.404777778,Warm,6.299530029,6.288421631,9.43057251,8.572387695,9.103729247999999,-7.16317749,7.960632324,7.125915527,9.077850342
9.015913978,Warm,8.264068604,7.070098877,11.12399292,10.24700928,10.74963379,-1.981170654,9.768310547,8.243103027,10.89169312
8.415376344,Warm,7.941192627,6.436798096,10.46609497,9.818603516,9.722900391,0.294342041,9.150939941,8.161834717,9.477996826
2.605666667,Warm,2.2876892090000003,1.8854064940000002,3.49710083,2.861114502,2.602996826,0.4480896,2.485565186,2.150695801,2.370574951
0.5970967739999999,Warm,-0.075378418,-0.349334717,1.2590942379999999,0.49899292,-0.348602295,0.172912598,-0.37802124,-1.001464844,-0.45651245100000004
1.711935484,Warm,0.282928467,0.60760498,1.8945007319999998,2.3492736819999998,1.312530518,-6.93649292,1.2565002440000002,-0.5732421879999999,2.352813721
6.157444443999999,Warm,5.53213501,4.726959228999999,8.023468017999999,7.519104004,7.920288086,-3.945373535,6.394927978999999,6.290618896000001,7.327056885
7.98,Warm,7.827331543,6.087768555,11.10827637,9.760437012,9.860748291,-0.064544678,8.838256836000001,7.448303223,9.579437256
9.321397849,Warm,9.418548584,8.047454834,12.44284058,11.58880615,11.60467529,0.6572875979999999,10.56192017,9.660400391,10.78512573
4.043666667,Warm,4.150421143,3.8059387210000004,5.372619629,4.873748779,4.8046875,0.814605713,4.438018799,4.43838501,4.65536499
2.8150537630000003,Warm,1.373443604,2.1744079590000003,3.196838379,4.138519287,2.1109924319999998,-7.513519287,2.300170898,1.169128418,3.411132813
6.978444444,Warm,7.192657471,7.330932617,9.733459473,9.493438721,9.689697266,-3.135894775,7.8088684079999995,8.143066406,8.477813721
9.581935484,Warm,10.21087646,8.854766846,13.62481689,12.79214478,13.22491455,0.340423584,10.95578003,10.33557129,11.5585022
7.136021505,Warm,7.075347900000001,6.43649292,9.049041747999999,8.878540038999999,8.796600342,0.778625488,7.428619385,7.388671875,7.846282959
3.5732258060000004,Warm,2.510314941,2.167419434,4.952331543000001,5.383514404,3.479888916,-6.150360107000001,3.98449707,2.024963379,4.24029541
7.965111111000001,Warm,8.222259521,7.542419434,10.5703125,11.38021851,11.05255127,-2.052001953,8.660430908,9.213500977,9.410583496000001
9.967741935,Warm,10.08334351,8.707061767999999,12.88806152,13.09747314,13.25683594,0.479888916,10.77154541,10.27584839,11.19009399
9.527849462,Warm,8.800933837999999,8.173919677999999,10.76681519,11.00656128,10.62460327,0.787719727,9.866943359,9.293395996000001,9.887512207
4.263333333,Warm,4.233917236,3.9662475589999997,4.764465331999999,5.708831787,5.072906494,0.9184265140000001,4.8601379389999995,4.21182251,4.3683776860000005
0.751290323,Warm,0.13092041,0.075286865,0.28271484399999997,0.6871032709999999,0.15612793,0.565612793,0.26391601600000003,-0.707702637,-0.275787354
